path,likely_change_target,recommended_change_action,likely_change_owner,ownership_confidence,role_in_flow,frontend_reference_only,jdbc_substitution_candidate,backend_owner_confidence,endpoint_correlation_score,code_change_candidate_count,jdbc_candidate_count,complexity_rating,complexity_score,matched_endpoints,matched_payload_fields,likely_system_of_record_path,related_files,jdbc_tables,sensitive_columns,sensitive_tables
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,30,2,high,181.5,,,member_email | household_id | salary_amount | home_address,,claim_review,home_address | household_id | member_email | salary_amount,"claim_review:member_email,household_id,salary_amount,home_address"
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,62,2,high,357.8,,,first_name | last_name | email | phone_number | date_of_birth,,customer_profile,date_of_birth | email | first_name | last_name | phone_number,"customer_profile:first_name,last_name,email,phone_number,date_of_birth"
E:\codex\work\migration\sample_code\backend\go-service\customer_handler.go,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,16,1,high,91.2,,,,,,,
E:\codex\work\migration\sample_code\backend\java-kafka\src\main\java\com\example\events\CustomerEventProcessor.java,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,0,7,high,30.1,,,email | phone_number | ssn | home_address,,customer_event_audit,email | home_address | phone_number | ssn,"customer_event_audit:email,phone_number,ssn,home_address"
E:\codex\work\migration\sample_code\backend\jdbc-only\src\main\java\com\example\billing\BillingRepository.java,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,0,16,medium,22.8,,,account_number | routing_number | card_number | cvv | billing_address,,billing_account,account_number | billing_address | card_number | cvv | routing_number,"billing_account:account_number,routing_number,card_number,cvv,billing_address"
E:\codex\work\migration\sample_code\backend\node-service\customer-service.js,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.49,17,1,high,98.5,https://ciphertrust.example.com/v1/protect/customer | /api/customer/protect,firstName | lastName | email | phoneNumber | dateOfBirth | ssn | date_of_birth | phone_number,email | phone_number | ssn | date_of_birth,E:\codex\work\migration\sample_code\backend\vector-search\node\customerVectorIndexer.js,customer_audit,date_of_birth | email | phone_number | ssn,"customer_audit:email,phone_number,ssn,date_of_birth"
E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,22,1,high,125.8,/api/member/protect,email | phone_number | phoneNumber | date_of_birth | dateOfBirth | passport | diagnosis,,,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerDataStore.java,True,review_data_access_change,data_access_owner,0.82,receives_and_transforms,False,False,0.84,0.0,37,1,high,207.2,,,,,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerService.java,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,15,20,high,127.3,,date_of_birth | email | phone_number | home_address | ssn | phoneNumber | dateOfBirth | homeAddress | protectedEmail | protectedDateOfBirth | protectedSsn | protectedHomeAddress,first_name | last_name | email | phone_number | date_of_birth,,customer_profile,date_of_birth | email | first_name | last_name | phone_number,"customer_profile:first_name,last_name,email,phone_number,date_of_birth"
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdController.java,True,review_crdp_rest_change,backend_logic_owner,0.84,receives_and_transforms,False,False,0.84,0.8,3,0,high,24.9,/api/households/{householdId}/members | /api/households/{householdId}/protect,,,E:\codex\work\migration\sample_code\frontend\react\src\components\HouseholdMemberScreen.tsx,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionService.java,True,review_crdp_rest_change,backend_logic_owner,0.84,receives_and_transforms,False,False,0.84,0.67,18,0,high,112.2,,householdId | primaryEmail | salaryAmount | accntNbr | homeAddress,,E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdRepository.java | E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdRepository.java,True,review_jdbc_substitution,jdbc_candidate,0.9,persists_or_publishes,False,True,0.84,0.0,11,20,high,92.8,,,household_id | primary_email | salary_amount | account_number | home_address,,household_member_profile,account_number | home_address | household_id | primary_email | salary_amount,"household_member_profile:household_id,primary_email,salary_amount,account_number,home_address"
E:\codex\work\migration\sample_code\backend\vector-search\python\member_embeddings.py,True,review_crdp_rest_change,backend_logic_owner,0.84,receives_and_transforms,False,False,0.84,0.8,15,0,high,84.7,,email | phoneNumber | dateOfBirth | diagnosis,,E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py | E:\codex\work\migration\sample_code\backend\node-service\customer-service.js | E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,,,
